# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
2,3,12,0.885943681906,qokit-cpp-dd,0.248710516061884;0.515031153678135;0.57816346470773;0.62252387846432;0.654830725725596;0.674563545066625;0.702196157138522;0.736641144270301;0.779520295675006;0.89107118891712;1.05334295801625;1.11383051817967,0.659569271813381;0.566269438265777;0.518801203107181;0.50584195415741;0.486063215269555;0.466872409123024;0.443737566419597;0.411033552547923;0.363280255708399;0.269371237532728;0.194887660153179;0.104961015565239
2,3,13,0.888871411993,qokit-cpp-dd,0.241293829756332;0.502981636834331;0.565242066890707;0.609477867040987;0.640080286831754;0.656581743144262;0.67958861118711;0.703302318157188;0.739520478507977;0.782535744941592;0.894896251991305;1.05735733005858;1.1126458076405,0.661478996005658;0.567460174363885;0.520043955733094;0.508854150047563;0.490572420292655;0.475286682562547;0.457357633103327;0.433190618011864;0.401440937676893;0.353403708407077;0.260876535994572;0.188959381564278;0.10237452649245
2,3,14,0.891384834713,qokit-cpp-dd,0.234562177206464;0.491812594821557;0.554290442416658;0.598206355113419;0.627586595843375;0.642388530302638;0.66159616028428;0.679707094479427;0.705007261659975;0.741882668989175;0.784929537765229;0.898715286187882;1.06102687127998;1.11082553718441,0.662563312031608;0.568231071401328;0.52110217043221;0.510549179939146;0.493747784814743;0.480501969036504;0.466048536845748;0.447382505593635;0.424186418113691;0.391904842974294;0.34424636908342;0.252989476910222;0.183360775064905;0.0997479755172576
2,3,15,0.893572264477,qokit-cpp-dd,0.228126060860052;0.480607821728639;0.543797714079849;0.587598999026147;0.61635531644945;0.630097192151;0.6474762251709;0.66123906330833;0.680701530191132;0.706388053165962;0.744416303135069;0.787991699916642;0.902587747875296;1.06394280243341;1.10903778615088,0.663699795634902;0.569059095803659;0.521841546290833;0.511914399496316;0.495786239162598;0.484099076781438;0.471692916865749;0.456294449905581;0.438633302901939;0.414791861697498;0.382669954477255;0.335478006439123;0.245767878823636;0.178148686764807;0.0972565235889547
2,3,16,0.895476935589,qokit-cpp-dd,0.22066506725885;0.470613292114573;0.53266743502482;0.578649461174475;0.606046615007438;0.619143687938863;0.636068548899637;0.646444779859913;0.661812579206793;0.681560710143017;0.707891985637379;0.747726312369324;0.79136342828971;0.90650742046744;1.066032866878;1.10775192154044,0.664912676590987;0.569730445990288;0.522471071363449;0.513314633873662;0.496410549736551;0.486864469594663;0.475770696125907;0.461515727295663;0.448103441130315;0.42903520633819;0.405667060930202;0.373347222755246;0.327389000217795;0.239109486316373;0.173043065206139;0.0951910599686398
3,4,1,0.676056660061,qokit-cpp-dd,0.550050516856796,0.287371347852009
3,4,2,0.739122784001,qokit-cpp-dd,0.422430203461172;0.721188858059945,0.363591846566196;0.211466412652256
3,4,3,0.777144052060,qokit-cpp-dd,0.36133907137595;0.624232539602339;0.728523251142488,0.383746946621534;0.295499039328778;0.175971383322223
3,4,4,0.802204015916,qokit-cpp-dd,0.324274930847713;0.563560487796906;0.641676944204601;0.733290860451841,0.387087830419198;0.314810107484768;0.266163445806587;0.152957587734376
3,4,5,0.820480960658,qokit-cpp-dd,0.299439752374151;0.528357457953373;0.58485818083713;0.647782365127502;0.737935864882545,0.388842389042399;0.320752039903093;0.285680880002899;0.246695788330604;0.135435887710437
3,4,6,0.834391120532,qokit-cpp-dd,0.280956265488095;0.50095246220463;0.551310937382628;0.590686269044682;0.649464811044596;0.741904453169957,0.388691798911728;0.321764025478007;0.295002446501563;0.269565388629083;0.23125358893588;0.122225721748294
3,4,7,0.845313267066,qokit-cpp-dd,0.265959961348444;0.479656692310722;0.526489879746255;0.555863374772706;0.590348429778164;0.649597085511369;0.744350588855033,0.38789153775213;0.321330723904754;0.296930708316027;0.282664701377334;0.257942337528183;0.219032877457509;0.112475743998877
3,4,8,0.854102048055,qokit-cpp-dd,0.253775737787672;0.462121483952216;0.507500856197996;0.532486649419598;0.553100468233525;0.587959160536491;0.648835517913521;0.745148214502899,0.386766189597238;0.319716904909003;0.296803492983191;0.286095608828537;0.273918774499123;0.248860259364694;0.209098802821539;0.104987887898108
3,4,9,0.861321010435,qokit-cpp-dd,0.243577468613575;0.447302223482777;0.492111800709095;0.515174901294561;0.530357412213732;0.548172116502473;0.585190109715693;0.647827651301173;0.745226110795575,0.385357771857702;0.317625591867853;0.295298640306988;0.286745105616448;0.278830587931256;0.267060061025491;0.241366524064606;0.200783880533503;0.0989937715078472
3,4,10,0.867359594468,qokit-cpp-dd,0.234994154505838;0.434712587454887;0.479347832690639;0.501506221529398;0.514012505400854;0.525698108349849;0.543278649092769;0.582731094594933;0.647040772069512;0.745185543743066,0.383877443820014;0.315395380580325;0.293284412335349;0.285762468179323;0.280289952217878;0.273513307307451;0.261375858508199;0.234921811659701;0.193592280409127;0.0939446576764931
